Restaurant,Item,ServingSize,Price,Calories,CaloriesFromFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Chick-fil-a,Chick-fil-AChickenBiscuit,153,4.15,460,23,8,0,45,1510,45,2,6,19
Chick-fil-a,SpicyChickenBiscuit,144,4.39,430,21,8,0,35,1470,43,2,5,17
Chick-fil-a,Chick-fil-AChick-n-Minis,127,5.25,360,13,4,0,60,1060,41,2,8,20
Chick-fil-a,EggWhiteGrill,171,5.55,290,8,4,0,65,1000,29,2,2,27
Chick-fil-a,HashBrownScrambleBurrito,304,5.55,700,40,12,0.5,415,1770,51,3,2,34
Chick-fil-a,HashBrownScrambleBowl,233,5.55,470,30,9,0,415,1350,19,2,2,29
Chick-fil-a,ChickenEgg&CheeseBiscuit,211,5.15,550,28,12,0,215,1870,48,3,7,27
Chick-fil-a,BaconEgg&CheeseBiscuit,145,4.45,420,23,11,0,180,1290,38,2,5,16
Chick-fil-a,SausageEgg&CheeseBiscuit,191,4.45,610,42,18,0,205,1510,38,2,4,22
Chick-fil-a,ChickenEgg&CheeseMuffin,190,5.35,420,19,6,0,215,1350,37,1,4,27
Chick-fil-a,BaconEgg&CheeseMuffin,129,4.65,310,13,6,0,180,800,30,2,2,17
Chick-fil-a,SausageEgg&CheeseMuffin,175,4.65,500,33,12,0,205,1030,30,1,2,23
Chick-fil-a,ButteredBiscuit,81,1.75,290,15,6,0,0,760,37,2,4,4
Chick-fil-a,Chick-fil-AChickenSandwich,183,5.75,420,18,3.5,0,70,1460,41,1,6,29
Chick-fil-a,Chick-fil-ADeluxeSandwich,247,6.45,490,22,6,0,85,1700,43,1,7,32
Chick-fil-a,SpicyChickenSandwich,188,6.09,450,19,4,0,65,1730,45,1,6,28
Chick-fil-a,SpicyDeluxeSandwich,259,6.79,530,25,8,0,85,1870,47,2,7,33
Chick-fil-a,GrilledChickenSandwich,218,7.25,390,12,2,0,75,770,44,3,12,28
Chick-fil-a,Chick-fil-AGrilledChickenClubSandwich,249,9.25,520,22,8,0,105,1130,45,3,12,38
Chick-fil-a,Chick-fil-ANuggets,113,5.85,250,11,2.5,0,85,1210,11,0,1,27
Chick-fil-a,GrilledNuggets,95,6.55,130,3,0.5,0,85,440,1,0,1,25
Chick-fil-a,Chick-fil-AChick-n-Strips,136,5.95,310,14,2.5,0,75,870,16,0,2,29
Chick-fil-a,Chick-fil-ACoolWrap,231,8.89,660,45,9,0,110,1420,32,14,5,43
