Restaurant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Raising Cane's,Chicken Finger,,1.99,130,,6,1,0,40,190,5,1,0,13
Raising Cane's,Crinkle-Cut Fries,,2.72,290,,19,2,0,0,310,49,7,1,5
Raising Cane's,Texas Toast,,1.35,140,,4,1.5,0,0,260,23,1,4,4
Raising Cane's,Coleslaw,,1.35,100,,6,1,0,5,310,11,1,7,1
Raising Cane's,Chicken Sandwich,,7.99,780,,39,6,0,120,1470,66,5,13,48
Raising Cane's,The Kids Combo,,6.49,630,,40,6,0,85,1100,38,5,5,29 
Raising Cane's,The Three Finger Combo,,7.99,1020,,56,9,0.5,125,1640,81,10,9,47 
Raising Cane's,The Box Combo,,9.95,1250,,68,11,0.5,170,2130,97,12,16,61 
Raising Cane's,The Caniac Combo,,14.85,1790,,104,16,1,255,3160,124,15,21,89 
Raising Cane's,The Chicken Sandwich Combo,,7.99,1080,,54,8,0.5,120,1700,103,10,13,52
